cluster,total_avg_rtt,total_avg_tp,total_avg_tcp
0,40.0,95.0,301505.0
0,50.0,98.0,3098895.0
0,105.0,105.0,292661.0
0,50.0,93.0,49768.0
2,38.0,100.0,7733588.875
0,67.0,13946.0,451137.0
0,38.0,10.0,3310343.25
0,58.0,21258.0,44852.0
2,194.5,219.0,9527494.875
0,112.0,1541.0,23676.0
1,35.0,38825.0,11171.0
0,70.0,215.0,541712.0
2,50.0,110.0,7727255.875
2,50.0,92.0,7227763.0
0,33.0,122.0,10278.0
0,33.0,4307.0,14680.0
0,45.0,8973.0,185267.0
1,105.0,50805.25,41493.0
1,70.0,46170.5,1286584.5
0,109.0,211.0,23078.0
1,55.0,30790.0,44621.0
0,50.0,92.0,845860.0
0,32.0,110.0,316245.0
0,50.0,108.0,3009.0
2,50.0,95.0,4004998.0
0,50.0,1.0,1766.0
1,194.5,10386.0,829463.0
0,92.0,175.0,93222.0
0,39.0,115.0,19401.0
1,55.0,52768.75,2783713.0
0,99.0,175.0,132568.0
0,49.0,88.0,134141.0
1,114.0,20347.5,3330335.0
2,97.0,966.0,7883135.125
0,30.0,81.0,11316.0
0,50.0,118.0,21982.0
0,29.0,91.0,14206.0
0,50.0,137.0,31163.0
0,70.0,91.0,132974.0
1,133.0,42525.0,331569.25
0,50.0,133.0,247619.0
0,50.0,89.0,814723.0
2,96.0,291.0,11439579.40625
0,28.0,111.0,51830.0
0,100.0,156.0,1860149.0
1,180.0,63351.6875,10907101.875
2,53.0,155.0,7955212.125
1,76.0,52885.75,3949404.0
0,50.0,142.0,177517.0
0,63.0,107.0,31467.0
2,107.0,799.0,7757150.875
0,57.0,66.0,27281.0
2,63.0,46.0,7883135.125
0,39.0,84.0,12507.0
1,156.0,24785.5,453252.0
2,44.0,93.0,6223789.0
0,50.0,95.0,573339.0
1,63.0,51818.25,11424.0
0,38.0,99.0,259739.0
0,29.0,79.0,513316.25
0,109.0,70.0,6587.0
1,111.0,9792.0,619234.0
1,169.0,51395.25,11439579.40625
0,34.0,117.0,578431.0
2,50.0,76.0,7883135.125
2,108.0,6186.0,7893759.125
1,92.0,51244.25,295130.0
0,40.0,99.0,930261.0
1,148.0,36522.5,2503775.0
0,88.0,87.0,4084.0
1,96.0,49509.5,9908146.0
0,110.0,129.0,1552.0
1,137.0,11848.5,98242.0
1,125.0,6008.0,21868.0
0,27.0,1658.0,2325.0
0,58.0,4529.0,22067.0
0,91.0,3857.0,944280.0
0,50.0,76.0,750095.0
0,38.0,611.0,170516.25
0,45.0,26842.5,53641.0
1,96.0,18613.0,572090.0
0,50.0,93.0,70819.0
0,122.0,131.0,419137.0
0,50.0,107.0,2345557.25
2,107.0,88.0,2542896.0
1,35.0,52768.75,7715316.875
1,194.5,20415.0,1527445.0
1,58.0,38513.0,2666.0
2,140.0,17864.0,11439579.40625
2,117.0,33601.0,11439579.40625
0,80.0,58.0,1251976.0
0,49.0,116.0,11907.0
1,131.0,449.0,150153.0
0,68.0,156.0,250199.25
0,34.0,301.0,7542.0
1,109.0,40083.0,293364.0
0,13.0,57.0,9310.0
0,100.0,183.0,414242.0
0,50.0,105.0,1496726.25
0,50.0,87.0,196369.0
1,70.0,51596.25,2140155.0
1,114.0,52048.25,288154.0
0,49.0,16890.5,130538.0
0,112.0,4579.0,103298.0
0,108.0,3788.0,7530.0
0,58.0,185.0,497804.0
0,19.0,104.0,1252881.0
0,51.0,63.0,187954.0
2,50.0,66.0,7883135.125
2,98.0,20381.0,7732448.875
0,20.0,101.0,158514.0
0,35.0,112.0,54895.0
1,50.0,49255.0,43720.0
0,100.0,142.0,80354.0
1,115.0,14360.0,241579.25
0,63.0,87.0,1592796.0
0,30.0,157.0,207019.0
0,114.0,2519.0,33378.0
2,129.0,148.0,7887058.125
0,54.0,13658.0,170666.25
0,50.0,64.0,1300853.0
0,50.0,73.0,2574.0
1,115.0,13751.0,3008334.0
0,38.0,63.0,1996.0
1,48.0,43668.0,67371.0
0,22.0,122.0,3199843.0
0,79.0,15705.0,296832.0
1,118.0,7529.0,3718986.0
0,25.0,130.0,3085.0
0,107.0,5177.0,859439.0
0,50.0,127.0,922.0
2,29.0,92.0,5600492.0
1,59.0,51303.25,1109572.0
0,47.0,118.0,491.0
0,112.0,154.0,82908.0
0,100.0,205.0,463126.0
1,142.0,7595.5,4344427.0
2,38.0,104.0,7358428.0
0,24.0,88.0,907226.0
0,100.0,207.0,360954.0
1,82.0,51782.25,7978055.0
0,30.0,91.0,2910408.0
2,118.0,113.0,8189993.875
0,50.0,118.0,254586.0
1,70.0,29968.5,455391.0
0,29.0,117.0,32992.0
0,126.0,374.0,41940.0
0,87.0,171.0,389964.0
0,37.0,84.0,1320190.0
0,50.0,97.0,31102.0
2,194.5,351.0,8248059.125
0,29.0,63.0,1035322.0
0,50.0,104.0,1567461.25
0,29.0,92.0,10847.0
1,39.0,52768.75,189732.0
0,50.0,105.0,41232.0
1,137.0,283.0,590906.0
1,98.0,48747.0,252320.0
2,39.0,72.0,7883135.125
2,50.0,128.0,6434317.25
2,18.0,113.0,7883135.125
0,50.0,115.0,204135.0
0,59.0,84.0,169251.25
0,50.0,98.0,162978.0
0,53.0,8240.0,12264.0
0,122.0,146.0,10202.0
0,40.0,77.0,188872.0
0,50.0,122.0,207022.0
0,58.0,3357.0,55386.0
1,61.0,26574.0,309805.25
0,76.0,69.0,196369.0
1,119.0,63351.6875,1973925.0
0,21.0,109.0,203364.25
2,94.0,4222.0,7933064.875
0,119.0,1757.0,14958.0
2,112.0,26514.0,7883135.125
2,50.0,55.0,5011750.25
0,38.0,100.0,55362.0
2,27.0,10548.0,7720012.875
0,103.0,177.0,306001.0
0,115.0,1283.0,223228.0
1,57.0,37522.5,40373.0
2,104.0,178.0,8210782.25
1,45.0,52768.75,1755883.0
1,37.0,52768.75,76012.0
0,105.0,1860.0,103084.0
0,69.0,86.0,85540.0
1,171.0,37483.0,11439579.40625
0,27.0,99.0,1873.0
0,58.0,8692.0,26396.0
2,93.0,1580.0,11439579.40625
0,38.0,96.0,27617.0
0,45.0,15720.0,51292.0
0,50.0,138.0,23527.0
0,50.0,100.0,90791.0
0,67.0,75.0,5248.0
1,194.5,63351.6875,114734.0
0,40.0,95.0,3923.0
0,50.0,131.0,2768015.0
2,59.0,203.0,7851701.875
0,69.0,647.0,18442.0
